gene	type
ICT1 	HK
IDE 	HK
IDH3A 	HK
IDH3B 	HK
IDH3G 	HK
IDI1 	HK
IER3IP1 	HK
IFNAR1 	HK
IFNGR1 	HK
IFRD1 	HK
IFT27 	HK
IKZF5 	HK
IL13RA1 	HK
IL6ST 	HK
ILF2 	HK
ILKAP 	HK
ILVBL 	HK
IMMT 	HK
IMP3 	HK
IMP4 	HK
IMPAD1 	HK
INF2 	HK
ING1 	HK
INO80B 	HK
INO80E 	HK
INPP5A 	HK
INPP5K 	HK
INSIG2 	HK
INTS1 	HK
INTS10 	HK
INTS12 	HK
INTS3 	HK
INTS4 	HK
INVS 	HK
IP6K1 	HK
IP6K2 	HK
IPO7 	HK
IPO8 	HK
IPO9 	HK
IRAK1 	HK
IREB2 	HK
IRF2BP1 	HK
IRF2BP2 	HK
IRF2BPL 	HK
IRGQ 	HK
ISCU 	HK
ISOC2 	HK
IST1 	HK
ISY1 	HK
ISY1-RAB43 	HK
ITCH 	HK
ITFG1 	HK
ITFG3 	HK
ITGB1 	HK
ITGB1BP1 	HK
ITM2B 	HK
ITPA 	HK
ITPK1 	HK
ITPKC 	HK
ITPRIPL2 	HK
IVNS1ABP 	HK
IWS1 	HK
JAGN1 	HK
JAK1 	HK
JKAMP 	HK
JMJD4 	HK
JMJD6 	HK
JMJD7 	HK
JMJD8 	HK
JOSD2 	HK
JTB 	HK
JUND 	HK
KANSL2 	HK
KANSL3 	HK
KARS 	HK
KAT2B 	HK
KAT5 	HK
KAT8 	HK
KBTBD2 	HK
KBTBD4 	HK
KBTBD7 	HK
KCMF1 	HK
KCTD20 	HK
KCTD21 	HK
KCTD6 	HK
KDM2A 	HK
KDM4A 	HK
KDM5C 	HK
KDSR 	HK
KHDRBS1 	HK
KHNYN 	HK
KHSRP 	HK
KIAA0100 	HK
KIAA0141 	HK
KIAA0195 	HK
KIAA0196 	HK
KIAA0232 	HK
KIAA0319L 	HK
KIAA0391 	HK
KIAA0754 	HK
KIAA0947 	HK
KIAA1143 	HK
KIAA1191 	HK
KIAA1429 	HK
KIAA1430 	HK
KIAA1586 	HK
KIAA1704 	HK
KIAA1715 	HK
KIAA1919 	HK
KIAA1967 	HK
KIAA2013 	HK
KLC4 	HK
KLF3 	HK
KLF9 	HK
KLHDC2 	HK
KLHDC3 	HK
KLHL20 	HK
KLHL25 	HK
KLHL36 	HK
KLHL5 	HK
KLHL8 	HK
KPNA1 	HK
KPNB1 	HK
KRCC1 	HK
KRR1 	HK
KTI12 	HK
KTN1 	HK
KXD1 	HK
L3MBTL2 	HK
LACTB 	HK
LAGE3 	HK
LAMP1 	HK
LAMP2 	HK
LAMTOR1 	HK
LAMTOR2 	HK
LAMTOR3 	HK
LAMTOR4 	HK
LAMTOR5 	HK
LAP3 	HK
LAPTM4A 	HK
LARP1 	HK
LARP4 	HK
LARP7 	HK
LARS2 	HK
LCOR 	HK
LDHA 	HK
LEMD2 	HK
LENG1 	HK
LEPROT 	HK
LETM1 	HK
LETMD1 	HK
LGALSL 	HK
LHPP 	HK
LIAS 	HK
LIG3 	HK
LIG4 	HK
LIN37 	HK
LIN54 	HK
LIN7C 	HK
LINS 	HK
LIPT1 	HK
LMAN1 	HK
LMBRD1 	HK
LMF2 	HK
LMO4 	HK
LNX2 	HK
LOC100129361 	HK
LOC100289561 	HK
LOC441155 	HK
LOC729020 	HK
LONP1 	HK
LONP2 	HK
LPCAT3 	HK
LPIN1 	HK
LPPR2 	HK
LRFN3 	HK
LRPAP1 	HK
LRPPRC 	HK
LRRC14 	HK
LRRC24 	HK
LRRC28 	HK
LRRC40 	HK
LRRC41 	HK
LRRC42 	HK
LRRC47 	HK
LRRC57 	HK
LRRC59 	HK
LRRC8A 	HK
LRRFIP2 	HK
LRSAM1 	HK
LSG1 	HK
LSM1 	HK
LSM10 	HK
LSM14A 	HK
LSM14B 	HK
LSM2 	HK
LSM3 	HK
LSM4 	HK
LSM5 	HK
LSM6 	HK
LSM7 	HK
LSMD1 	HK
LSS 	HK
LTV1 	HK
LUC7L2 	HK
LUC7L3 	HK
LUZP6 	HK
LYRM1 	HK
LYRM4 	HK
LYRM5 	HK
LYSMD1 	HK
LYSMD3 	HK
LYSMD4 	HK
LZTR1 	HK
M6PR 	HK
MAD2L1BP 	HK
MAD2L2 	HK
MAEA 	HK
MAGED1 	HK
MAGEF1 	HK
MAGOH 	HK
MAGT1 	HK
MAK16 	HK
MALSU1 	HK
MAN1A2 	HK
MAN1B1 	HK
MAN2A2 	HK
MAN2B2 	HK
MAN2C1 	HK
MAP1LC3B2 	HK
MAP2K1 	HK
MAP2K2 	HK
MAP2K5 	HK
MAP3K7 	HK
MAP4K4 	HK
MAPK1 	HK
MAPK1IP1L 	HK
MAPK6 	HK
MAPK8 	HK
MAPK9 	HK
MAPKAP1 	HK
MAPKAPK2 	HK
MAPKAPK5 	HK
MAPRE2 	HK
Mar-02	HK
Mar-05	HK
Mar-06	HK
Mar-07	HK
MARK3 	HK
MARK4 	HK
MARS 	HK
MARS2 	HK
MAT2B 	HK
MAVS 	HK
MAX 	HK
MAZ 	HK
MBD1 	HK
MBD2 	HK
MBD3 	HK
MBD4 	HK
MBLAC1 	HK
MBNL2 	HK
MBTPS1 	HK
MBTPS2 	HK
MCAT 	HK
MCCC1 	HK
MCEE 	HK
MCFD2 	HK
MCM3AP 	HK
MCM7 	HK
MCMBP 	HK
MCOLN1 	HK
MCPH1 	HK
MCRS1 	HK
MCTS1 	HK
MCU 	HK
MDC1 	HK
MDP1 	HK
ME2 	HK
MEAF6 	HK
MECP2 	HK
MED10 	HK
MED11 	HK
MED13 	HK
MED14 	HK
MED16 	HK
MED19 	HK
MED20 	HK
MED21 	HK
MED24 	HK
MED29 	HK
MED31 	HK
MED4 	HK
MED6 	HK
MED7 	HK
MED8 	HK
MEF2A 	HK
MEF2BNB 	HK
MEMO1 	HK
MEN1 	HK
MEPCE 	HK
METAP1 	HK
METAP2 	HK
METRN 	HK
METTL13 	HK
METTL14 	HK
METTL16 	HK
METTL17 	HK
METTL18 	HK
METTL20 	HK
METTL21A 	HK
METTL23 	HK
METTL2A 	HK
METTL2B 	HK
METTL3 	HK
METTL5 	HK
MFAP1 	HK
MFAP3 	HK
MFF 	HK
MFN1 	HK
MFSD11 	HK
MFSD12 	HK
MFSD3 	HK
MFSD5 	HK
MGAT2 	HK
MGAT4B 	HK
MGME1 	HK
MGMT 	HK
MGRN1 	HK
MGST3 	HK
MIA3 	HK
MIB1 	HK
MICALL1 	HK
MICU1 	HK
MID1IP1 	HK
MIDN 	HK
MIEN1 	HK
MIER1 	HK
MIF 	HK
MIF4GD 	HK
MIIP 	HK
MINOS1 	HK
MIS12 	HK
MITD1 	HK
MKI67IP 	HK
MKKS 	HK
MKLN1 	HK
MKNK1 	HK
MKRN2 	HK
MLEC 	HK
MLF2 	HK
MLH1 	HK
MLLT1 	HK
MLLT10 	HK
MLST8 	HK
MLX 	HK
MMAA 	HK
MMADHC 	HK
MMS19 	HK
MNAT1 	HK
MNF1 	HK
MOB4 	HK
MOGS 	HK
MON1A 	HK
MON2 	HK
MORC2 	HK
MORF4L2 	HK
MOSPD1 	HK
MPC2 	HK
MPDU1 	HK
MPG 	HK
MPHOSPH10 	HK
MPI 	HK
MPLKIP 	HK
MPND 	HK
MPPE1 	HK
MPV17L2 	HK
MRFAP1 	HK
MRFAP1L1 	HK
MRI1 	HK
MRM1 	HK
MRP63 	HK
MRPL1 	HK
MRPL10 	HK
MRPL11 	HK
MRPL12 	HK
MRPL13 	HK
MRPL14 	HK
MRPL15 	HK
MRPL16 	HK
MRPL17 	HK
MRPL18 	HK
MRPL19 	HK
MRPL2 	HK
MRPL20 	HK
MRPL21 	HK
MRPL22 	HK
MRPL23 	HK
MRPL24 	HK
MRPL27 	HK
MRPL28 	HK
MRPL3 	HK
MRPL30 	HK
MRPL32 	HK
MRPL33 	HK
MRPL35 	HK
MRPL36 	HK
MRPL37 	HK
MRPL38 	HK
MRPL4 	HK
MRPL40 	HK
MRPL41 	HK
MRPL42 	HK
MRPL43 	HK
MRPL44 	HK
MRPL45 	HK
MRPL46 	HK
MRPL47 	HK
MRPL48 	HK
MRPL49 	HK
MRPL50 	HK
MRPL51 	HK
MRPL52 	HK
MRPL53 	HK
MRPL54 	HK
MRPL55 	HK
MRPL9 	HK
MRPS10 	HK
MRPS11 	HK
MRPS12 	HK
MRPS14 	HK
MRPS15 	HK
MRPS16 	HK
MRPS17 	HK
MRPS18A 	HK
MRPS18B 	HK
MRPS18C 	HK
MRPS2 	HK
MRPS21 	HK
MRPS22 	HK
MRPS23 	HK
MRPS24 	HK
MRPS25 	HK
MRPS26 	HK
MRPS27 	HK
MRPS28 	HK
MRPS30 	HK
MRPS31 	HK
MRPS33 	HK
MRPS34 	HK
MRPS35 	HK
MRPS5 	HK
MRPS6 	HK
MRPS7 	HK
MRPS9 	HK
MRRF 	HK
MRS2 	HK
MRTO4 	HK
MSANTD3 	HK
MSH3 	HK
MSH6 	HK
MSL3 	HK
MSMP 	HK
MSRA 	HK
MSRB2 	HK
MTA2 	HK
MTCH1 	HK
MTCH2 	HK
MTDH 	HK
MTERFD1 	HK
MTERFD2 	HK
MTERFD3 	HK
MTFMT 	HK
MTFR1 	HK
MTFR1L 	HK
MTIF3 	HK
MTM1 	HK
MTMR1 	HK
MTMR3 	HK
MTMR6 	HK
MTO1 	HK
MTPAP 	HK
MTRR 	HK
MTSS1 	HK
MTX2 	HK
MUL1 	HK
MUS81 	HK
MUT 	HK
MVD 	HK
MXD4 	HK
MXI1 	HK
MYBBP1A 	HK
MYEOV2 	HK
MYL12B 	HK
MYNN 	HK
MYO1E 	HK
MYPOP 	HK
MZF1 	HK
MZT2A 	HK
MZT2B 	HK
N4BP1 	HK
N4BP2L2 	HK
NAA10 	HK
NAA15 	HK
NAA20 	HK
NAA38 	HK
NAA50 	HK
NAA60 	HK
NABP2 	HK
NACA 	HK
NACA2 	HK
NACC1 	HK
NACC2 	HK
NAE1 	HK
NAMPT 	HK
NANS 	HK
NAP1L4 	HK
NAPA 	HK
NARF 	HK
NARFL 	HK
NARG2 	HK
NARS 	HK
NARS2 	HK
NAT10 	HK
NBN 	HK
NBR1 	HK
NCAPH2 	HK
NCBP2 	HK
NCK1 	HK
NCKIPSD 	HK
NCL 	HK
NCLN 	HK
NCOA1 	HK
NCOA6 	HK
NCOR1 	HK
NCSTN 	HK
NDEL1 	HK
NDFIP1 	HK
NDNL2 	HK
NDST1 	HK
NDUFA10 	HK
NDUFA11 	HK
NDUFA12 	HK
NDUFA13 	HK
NDUFA2 	HK
NDUFA3 	HK
NDUFA4 	HK
NDUFA5 	HK
NDUFA6 	HK
NDUFA7 	HK
NDUFA8 	HK
NDUFA9 	HK
NDUFAF2 	HK
NDUFAF3 	HK
NDUFAF4 	HK
NDUFB10 	HK
NDUFB11 	HK
NDUFB2 	HK
NDUFB3 	HK
NDUFB4 	HK
NDUFB5 	HK
NDUFB6 	HK
NDUFB7 	HK
NDUFB8 	HK
NDUFB9 	HK
NDUFC1 	HK
NDUFC2 	HK
NDUFC2-KCTD14 	HK
NDUFS2 	HK
NDUFS3 	HK
NDUFS4 	HK
NDUFS5 	HK
NDUFS6 	HK
NDUFS7 	HK
NDUFS8 	HK
NDUFV1 	HK
NDUFV2 	HK
NECAP1 	HK
NEDD8 	HK
NEDD8-MDP1 	HK
NEIL2 	HK
NEK4 	HK
NEK9 	HK
NELFB 	HK
NELFCD 	HK
NELFE 	HK
NENF 	HK
NEU1 	HK
NF2 	HK
NFATC2IP 	HK
NFE2L2 	HK
NFIL3 	HK
NFKBIB 	HK
NFKBIL1 	HK
NFU1 	HK
NFX1 	HK
NFYB 	HK
NFYC 	HK
NGDN 	HK
NGLY1 	HK
NGRN 	HK
NHP2 	HK
NHP2L1 	HK
NIF3L1 	HK
NINJ1 	HK
NIP7 	HK
NIPA2 	HK
NIPBL 	HK
NISCH 	HK
NIT1 	HK
NIT2 	HK
NKAP 	HK
NKIRAS2 	HK
NMD3 	HK
NME1-NME2 	HK
NME2 	HK
NME3 	HK
NME6 	HK
NMRK1 	HK
NMT1 	HK
NOA1 	HK
NOB1 	HK
NOC2L 	HK
NOL10 	HK
NOL11 	HK
NOL12 	HK
NOL6 	HK
NOL7 	HK
NOL8 	HK
NOLC1 	HK
NOM1 	HK
NONO 	HK
NOP10 	HK
NOP14 	HK
NOP16 	HK
NOP2 	HK
NOP56 	HK
NOP58 	HK
NOP9 	HK
NPC1 	HK
NPC2 	HK
NPLOC4 	HK
NPRL2 	HK
NPRL3 	HK
NQO2 	HK
NR1H2 	HK
NR2C1 	HK
NR2C2AP 	HK
NR3C2 	HK
NRBP1 	HK
NRDE2 	HK
NRIP1 	HK
NSA2 	HK
NSD1 	HK
NSDHL 	HK
NSFL1C 	HK
NSMCE1 	HK
NSMCE2 	HK
NSMCE4A 	HK
NSRP1 	HK
NSUN2 	HK
NSUN5 	HK
NSUN6 	HK
NT5C 	HK
NT5C3 	HK
NT5DC1 	HK
NTAN1 	HK
NTMT1 	HK
NTPCR 	HK
NUB1 	HK
NUBP1 	HK
NUBP2 	HK
NUCB1 	HK
NUCKS1 	HK
NUDC 	HK
NUDCD1 	HK
NUDCD2 	HK
NUDT14 	HK
NUDT15 	HK
NUDT2 	HK
NUDT21 	HK
NUDT22 	HK
NUDT3 	HK
NUDT9 	HK
NUFIP2 	HK
NUP107 	HK
NUP133 	HK
NUP153 	HK
NUP54 	HK
NUP62 	HK
NUP85 	HK
NUPL2 	HK
NUTF2 	HK
NXF1 	HK
NXT1 	HK
OAT 	HK
OAZ1 	HK
OAZ2 	HK
OBFC1 	HK
OCEL1 	HK
OCIAD1 	HK
ODC1 	HK
OGFOD1 	HK
OGFOD3 	HK
OGFR 	HK
OGG1 	HK
OGT 	HK
OLA1 	HK
OPA1 	HK
OPA3 	HK
ORC4 	HK
ORMDL1 	HK
ORMDL2 	HK
ORMDL3 	HK
OS9 	HK
OSBP 	HK
OSBPL2 	HK
OSBPL9 	HK
OSGEP 	HK
OSGIN2 	HK
OSTM1 	HK
OTUB1 	HK
OTUD5 	HK
OVCA2 	HK
OXA1L 	HK
OXNAD1 	HK
P4HTM 	HK
PA2G4 	HK
PABPN1 	HK
PACSIN2 	HK
PAF1 	HK
PAFAH1B1 	HK
PAGR1 	HK
PAICS 	HK
PAIP1 	HK
PAIP2 	HK
PAK1IP1 	HK
PAK2 	HK
PAM16 	HK
PANK2 	HK
PANK3 	HK
PANK4 	HK
PANX1 	HK
PAPD4 	HK
PAPD7 	HK
PAPOLA 	HK
PARK7 	HK
PARL 	HK
PARN 	HK
PARP1 	HK
PARP3 	HK
PARP9 	HK
PATL1 	HK
PATZ1 	HK
PAXBP1 	HK
PBDC1 	HK
PBX2 	HK
PCBP1 	HK
PCBP2 	HK
PCDHGB5 	HK
PCF11 	HK
PCGF1 	HK
PCGF5 	HK
PCID2 	HK
PCIF1 	HK
PCM1 	HK
PCMT1 	HK
PCNA 	HK
PCNX 	HK
PCNXL4 	HK
PCSK7 	HK
PCYOX1 	HK
PCYT1A 	HK
PDAP1 	HK
PDCD2 	HK
PDCD5 	HK
PDCD6 	HK
PDCD6IP 	HK
PDE12 	HK
PDE6D 	HK
PDGFC 	HK
PDHB 	HK
PDHX 	HK
PDK2 	HK
PDLIM5 	HK
PDP2 	HK
PDS5A 	HK
PDZD11 	HK
PDZD8 	HK
PEBP1 	HK
PEF1 	HK
PELO 	HK
PELP1 	HK
PEPD 	HK
PES1 	HK
PET100 	HK
PET117 	HK
PEX1 	HK
PEX11A 	HK
PEX11B 	HK
PEX12 	HK
PEX13 	HK
PEX14 	HK
PEX16 	HK
PEX19 	HK
PEX2 	HK
PEX26 	HK
PEX5 	HK
PEX6 	HK
PFDN2 	HK
PFDN4 	HK
PFDN5 	HK
PFDN6 	HK
PFN1 	HK
PGAM5 	HK
PGBD3 	HK
PGK1 	HK
PGLS 	HK
PGP 	HK
PGPEP1 	HK
PGRMC2 	HK
PHACTR4 	HK
PHAX 	HK
PHB 	HK
PHB2 	HK
PHC2 	HK
PHF10 	HK
PHF12 	HK
PHF20L1 	HK
PHF23 	HK
PHF5A 	HK
PHKB 	HK
PHPT1 	HK
PHRF1 	HK
PI4K2A 	HK
PI4KA 	HK
PI4KB 	HK
PIAS1 	HK
PICALM 	HK
PICK1 	HK
PIGC 	HK
PIGF 	HK
PIGG 	HK
PIGH 	HK
PIGK 	HK
PIGP 	HK
PIGS 	HK
PIGT 	HK
PIGU 	HK
PIGW 	HK
PIGX 	HK
PIGY 	HK
PIH1D1 	HK
PIK3C3 	HK
PIK3CB 	HK
PIK3R1 	HK
PIK3R4 	HK
PIN1 	HK
PINK1 	HK
PINX1 	HK
PIP5K1A 	HK
PITHD1 	HK
PITPNA 	HK
PITPNB 	HK
PITRM1 	HK
PLA2G12A 	HK
PLAA 	HK
PLBD2 	HK
PLD3 	HK
PLEKHA1 	HK
PLEKHJ1 	HK
PLEKHM1 	HK
PLGRKT 	HK
PLIN3 	HK
PLOD1 	HK
PLOD3 	HK
PLRG1 	HK
PMF1 	HK
PMF1-BGLAP 	HK
PMPCA 	HK
PMPCB 	HK
PMS1 	HK
PMVK 	HK
PNISR 	HK
PNKD 	HK
PNKP 	HK
PNN 	HK
PNO1 	HK
PNPLA6 	HK
PNPLA8 	HK
PNPO 	HK
PNPT1 	HK
PNRC2 	HK
POFUT1 	HK
POLD2 	HK
POLDIP2 	HK
POLDIP3 	HK
POLE3 	HK
POLE4 	HK
POLG 	HK
POLH 	HK
POLK 	HK
POLL 	HK
POLM 	HK
POLR1C 	HK
POLR1D 	HK
POLR1E 	HK
POLR2A 	HK
POLR2B 	HK
POLR2C 	HK
POLR2D 	HK
POLR2E 	HK
POLR2F 	HK
POLR2G 	HK
POLR2H 	HK
POLR2I 	HK
POLR2J 	HK
POLR2K 	HK
POLR2L 	HK
POLR3C 	HK
POLR3E 	HK
POLR3GL 	HK
POLR3K 	HK
POM121 	HK
POM121C 	HK
POMGNT1 	HK
POMP 	HK
POMT1 	HK
POP4 	HK
POP5 	HK
POP7 	HK
PPA1 	HK
PPA2 	HK
PPAN 	HK
PPAN-P2RY11 	HK
PPARA 	HK
PPARD 	HK
PPCS 	HK
PPFIA1 	HK
PPHLN1 	HK
PPID 	HK
PPIE 	HK
PPIF 	HK
PPIG 	HK
PPIH 	HK
PPIL4 	HK
PPM1A 	HK
PPM1B 	HK
PPP1CA 	HK
PPP1CC 	HK
PPP1R10 	HK
PPP1R11 	HK
PPP1R15B 	HK
PPP1R37 	HK
PPP1R7 	HK
PPP1R8 	HK
PPP2CA 	HK
PPP2CB 	HK
PPP2R1A 	HK
PPP2R2A 	HK
PPP2R2D 	HK
PPP2R3C 	HK
PPP2R4 	HK
PPP2R5A 	HK
PPP2R5B 	HK
PPP2R5C 	HK
PPP2R5D 	HK
PPP2R5E 	HK
PPP4C 	HK
PPP4R1 	HK
PPP4R2 	HK
PPP5C 	HK
PPP6C 	HK
PPP6R2 	HK
PPP6R3 	HK
PPWD1 	HK
PQBP1 	HK
PQLC1 	HK
PQLC2 	HK
PRADC1 	HK
PRCC 	HK
PRDM4 	HK
PRDX1 	HK
PRDX2 	HK
PRDX3 	HK
PRDX5 	HK
PRDX6 	HK
PREB 	HK
PREP 	HK
PRKAA1 	HK
PRKAB1 	HK
PRKACA 	HK
PRKAG1 	HK
PRKAR1A 	HK
PRKRIP1 	HK
PRMT1 	HK
PRMT5 	HK
PRMT7 	HK
PROSC 	HK
PRPF18 	HK
PRPF19 	HK
PRPF3 	HK
PRPF31 	HK
PRPF4 	HK
PRPF40A 	HK
PRPF4B 	HK
PRPF6 	HK
PRPF8 	HK
PRPS1 	HK
PRPSAP1 	HK
PRR14 	HK
PRRC1 	HK
PRRC2A 	HK
PRRC2B 	HK
PRUNE 	HK
PSEN1 	HK
PSEN2 	HK
PSENEN 	HK
PSKH1 	HK
PSMA1 	HK
PSMA2 	HK
PSMA3 	HK
PSMA4 	HK
PSMA5 	HK
PSMA6 	HK
PSMA7 	HK
PSMB1 	HK
PSMB2 	HK
PSMB3 	HK
PSMB4 	HK
PSMB5 	HK
PSMB6 	HK
PSMB7 	HK
PSMC2 	HK
PSMC3 	HK
PSMC4 	HK
PSMC5 	HK
PSMC6 	HK
PSMD1 	HK
PSMD10 	HK
PSMD11 	HK
PSMD12 	HK
PSMD13 	HK
PSMD14 	HK
PSMD2 	HK
PSMD3 	HK
PSMD4 	HK
PSMD5 	HK
PSMD6 	HK
PSMD7 	HK
PSMD8 	HK
PSMD9 	HK
PSME1 	HK
PSME3 	HK
PSMF1 	HK
PSMG2 	HK
PSMG3 	HK
PSMG4 	HK
PSPC1 	HK
PTCD1 	HK
PTCD3 	HK
PTDSS1 	HK
PTEN 	HK
PTGES2 	HK
PTGES3 	HK
PTOV1 	HK
PTP4A2 	HK
PTPMT1 	HK
PTPN1 	HK
PTPN11 	HK
PTPN23 	HK
PTRH1 	HK
PTRH2 	HK
PTRHD1 	HK
PUF60 	HK
PUM1 	HK
PUM2 	HK
PURA 	HK
PURB 	HK
PUS3 	HK
PUS7 	HK
PUSL1 	HK
PWP1 	HK
PWP2 	HK
PWWP2A 	HK
PXMP4 	HK
PYCR2 	HK
PYGO2 	HK
PYURF 	HK
QARS 	HK
QRICH1 	HK
QRSL1 	HK
QSOX1 	HK
QTRT1 	HK
R3HCC1 	HK
R3HDM2 	HK
RAB10 	HK
RAB11A 	HK
RAB11B 	HK
RAB14 	HK
RAB18 	HK
RAB1A 	HK
RAB1B 	HK
RAB21 	HK
RAB22A 	HK
RAB2A 	HK
RAB2B 	HK
RAB3GAP1 	HK
RAB3GAP2 	HK
RAB40C 	HK
RAB4A 	HK
RAB5A 	HK
RAB5B 	HK
RAB5C 	HK
RAB6A 	HK
RAB7A 	HK
RAB9A 	HK
RABEP1 	HK
RABEPK 	HK
RABGEF1 	HK
RABGGTA 	HK
RABGGTB 	HK
RAD1 	HK
RAD17 	HK
RAD23B 	HK
RAD50 	HK
RAD51C 	HK
RAF1 	HK
RALA 	HK
RALBP1 	HK
RALY 	HK
RAN 	HK
RANBP1 	HK
RANBP2 	HK
RANBP3 	HK
RANBP6 	HK
RANGAP1 	HK
RANGRF 	HK
RAP1A 	HK
RAPGEF1 	HK
RAPGEF2 	HK
RARS 	HK
RARS2 	HK
RB1CC1 	HK
RBAK 	HK
RBBP4 	HK
RBBP7 	HK
RBCK1 	HK
RBFA 	HK
RBM10 	HK
RBM12 	HK
RBM12B 	HK
RBM14 	HK
RBM14-RBM4 	HK
RBM15 	HK
RBM15B 	HK
RBM17 	HK
RBM18 	HK
RBM19 	HK
RBM23 	HK
RBM27 	HK
RBM28 	HK
RBM33 	HK
RBM34 	HK
RBM39 	HK
RBM4 	HK
RBM41 	HK
RBM42 	HK
RBM5 	HK
RBM6 	HK
RBM7 	HK
RBM8A 	HK
RBMX 	HK
RBMXL1 	HK
RBX1 	HK
RC3H2 	HK
RCAN1 	HK
RCHY1 	HK
RCN2 	HK
RDH14 	HK
RDX 	HK
REEP3 	HK
REEP5 	HK
RELA 	HK
REPIN1 	HK
REPS1 	HK
RER1 	HK
REST 	HK
REXO1 	HK
RFC1 	HK
RFC2 	HK
RFC5 	HK
RFK 	HK
RFNG 	HK
RFT1 	HK
RFWD2 	HK
RFXANK 	HK
RGP1 	HK
RHBDD1 	HK
RHBDD3 	HK
RHOA 	HK
RHOB 	HK
RHOT1 	HK
RHOT2 	HK
RIC8A 	HK
RIN2 	HK
RING1 	HK
RINT1 	HK
RIOK1 	HK
RIOK2 	HK
RIOK3 	HK
RIPK1 	HK
RMDN1 	HK
RMDN3 	HK
RMI1 	HK
RMND1 	HK
RMND5A 	HK
RMND5B 	HK
RNASEH1 	HK
RNASEH2C 	HK
RNASEK 	HK
RNF10 	HK
RNF103 	HK
RNF11 	HK
RNF111 	HK
RNF113A 	HK
RNF115 	HK
RNF121 	HK
RNF126 	HK
RNF13 	HK
RNF14 	HK
RNF141 	HK
RNF146 	HK
RNF167 	HK
RNF181 	HK
RNF185 	HK
RNF187 	HK
RNF216 	HK
RNF220 	HK
RNF25 	HK
RNF26 	HK
RNF31 	HK
RNF34 	HK
RNF4 	HK
RNF40 	HK
RNF5 	HK
RNF6 	HK
RNF7 	HK
RNH1 	HK
RNMTL1 	HK
RNPEP 	HK
ROMO1 	HK
RP9 	HK
RPA2 	HK
RPA3 	HK
RPAIN 	HK
RPAP3 	HK
RPF1 	HK
RPF2 	HK
RPL10A 	HK
RPL11 	HK
RPL14 	HK
RPL26L1 	HK
RPL27 	HK
RPL30 	HK
RPL31 	HK
RPL32 	HK
RPL34 	HK
RPL35 	HK
RPL35A 	HK
RPL36AL 	HK
RPL4 	HK
RPL6 	HK
RPL7L1 	HK
RPL8 	HK
RPN1 	HK
RPN2 	HK
RPP14 	HK
RPP25L 	HK
RPP30 	HK
RPP38 	HK
RPRD1B 	HK
RPS13 	HK
RPS19BP1 	HK
RPS23 	HK
RPS24 	HK
RPS27L 	HK
RPS5 	HK
RPS6 	HK
RPS6KA3 	HK
RPS6KB1 	HK
RPS6KB2 	HK
RPUSD3 	HK
RQCD1 	HK
RRAGA 	HK
RRM1 	HK
RRN3 	HK
RRNAD1 	HK
RRP1 	HK
RRP36 	HK
RRP7A 	HK
RRP8 	HK
RRS1 	HK
RSAD1 	HK
RSBN1L 	HK
RSC1A1 	HK
RSL1D1 	HK
RSPRY1 	HK
RSRC1 	HK
RSRC2 	HK
RTCA 	HK
RTFDC1 	HK
RTN4 	HK
RUFY1 	HK
RUVBL1 	HK
RWDD1 	HK
RWDD3 	HK
RXRA 	HK
RXRB 	HK
SAE1 	HK
SAMD1 	HK
SAMD4B 	HK
SAMD8 	HK
SAMM50 	HK
SAP18 	HK
SAP30 	HK
SAP30BP 	HK
SAP30L 	HK
SAR1A 	HK
SARNP 	HK
SARS 	HK
SART1 	HK
SART3 	HK
SAT2 	HK
SAV1 	HK
SBDS 	HK
SCAF1 	HK
SCAF11 	HK
SCAF4 	HK
SCAF8 	HK
SCAMP2 	HK
SCAMP3 	HK
SCAND1 	HK
SCAP 	HK
SCARB2 	HK
SCFD1 	HK
SCFD2 	HK
SCNM1 	HK
SCO1 	HK
SCO2 	HK
SCOC 	HK
SCP2 	HK
SCRIB 	HK
SCRN3 	HK
SCYL1 	HK
SCYL2 	HK
SCYL3 	HK
SDAD1 	HK
SDCBP 	HK
SDCCAG3 	HK
SDCCAG8 	HK
SDE2 	HK
SDF2 	HK
SDF4 	HK
SDHA 	HK
SDHAF2 	HK
SDHB 	HK
SDHC 	HK
SDHD 	HK
SDR39U1 	HK
SEC11A 	HK
SEC13 	HK
SEC16A 	HK
SEC22B 	HK
SEC22C 	HK
SEC23A 	HK
SEC23IP 	HK
SEC24A 	HK
SEC24B 	HK
SEC24C 	HK
SEC31A 	HK
SEC61A1 	HK
SEC61B 	HK
SEC61G 	HK
SEC62 	HK
SEC63 	HK
SECISBP2 	HK
SEH1L 	HK
SEL1L 	HK
SELK 	HK
SELO 	HK
SELRC1 	HK
SELT 	HK
SENP2 	HK
SENP3 	HK
SENP5 	HK
SENP6 	HK
SEPHS1 	HK
SERBP1 	HK
SERF2 	HK
SERGEF 	HK
SERINC1 	HK
SERINC3 	HK
SERPINB6 	HK
SERTAD2 	HK
SET 	HK
SETD2 	HK
SETD3 	HK
SETD5 	HK
SETD6 	HK
SETD7 	HK
SETD8 	HK
SETDB1 	HK
SF1 	HK
SF3A1 	HK
SF3A3 	HK
SF3B1 	HK
SF3B14 	HK
SF3B2 	HK
SF3B3 	HK
SF3B4 	HK
SF3B5 	HK
SFSWAP 	HK
SGK196 	HK
SGMS1 	HK
