gene	type
BNIP1 	HK
BNIP2 	HK
BOD1 	HK
BOLA1 	HK
BOLA3 	HK
BPGM 	HK
BPNT1 	HK
BPTF 	HK
BRAT1 	HK
BRD2 	HK
BRD4 	HK
BRD7 	HK
BRD9 	HK
BRE 	HK
BRF1 	HK
BRF2 	HK
BRIX1 	HK
BRK1 	HK
BRMS1 	HK
BRPF1 	HK
BRPF3 	HK
BSDC1 	HK
BSG 	HK
BTBD2 	HK
BTD 	HK
BTF3 	HK
BUB3 	HK
BZW1 	HK
C10orf12 	HK
C10orf2 	HK
C10orf76 	HK
C10orf88 	HK
C11orf1 	HK
C11orf24 	HK
C11orf31 	HK
C11orf57 	HK
C11orf58 	HK
C11orf73 	HK
C11orf83 	HK
C12orf10 	HK
C12orf23 	HK
C12orf29 	HK
C12orf44 	HK
C12orf45 	HK
C12orf5 	HK
C12orf52 	HK
C12orf57 	HK
C12orf65 	HK
C12orf66 	HK
C14orf1 	HK
C14orf119 	HK
C14orf142 	HK
C14orf166 	HK
C14orf2 	HK
C14orf28 	HK
C15orf38-AP3S2 	HK
C15orf57 	HK
C16orf13 	HK
C16orf62 	HK
C16orf72 	HK
C16orf91 	HK
C17orf49 	HK
C17orf51 	HK
C17orf58 	HK
C17orf59 	HK
C17orf70 	HK
C17orf85 	HK
C18orf21 	HK
C18orf25 	HK
C18orf32 	HK
C18orf8 	HK
C19orf43 	HK
C19orf53 	HK
C19orf60 	HK
C19orf70 	HK
C1GALT1 	HK
C1QBP 	HK
C1orf109 	HK
C1orf122 	HK
C1orf123 	HK
C1orf174 	HK
C1orf43 	HK
C1orf50 	HK
C1orf52 	HK
C20orf111 	HK
C20orf24 	HK
C21orf2 	HK
C21orf33 	HK
C21orf59 	HK
C22orf28 	HK
C22orf29 	HK
C22orf32 	HK
C2orf47 	HK
C2orf49 	HK
C2orf69 	HK
C2orf74 	HK
C2orf76 	HK
C3orf17 	HK
C3orf37 	HK
C3orf38 	HK
C3orf58 	HK
C4orf27 	HK
C4orf3 	HK
C4orf52 	HK
C5orf15 	HK
C5orf24 	HK
C6orf1 	HK
C6orf106 	HK
C6orf120 	HK
C6orf136 	HK
C6orf226 	HK
C6orf47 	HK
C6orf57 	HK
C6orf62 	HK
C6orf89 	HK
C7orf25 	HK
C7orf26 	HK
C7orf49 	HK
C7orf50 	HK
C7orf55 	HK
C7orf55-LUC7L2 	HK
C7orf73 	HK
C8orf33 	HK
C8orf40 	HK
C8orf59 	HK
C8orf76 	HK
C8orf82 	HK
C9orf123 	HK
C9orf16 	HK
C9orf37 	HK
C9orf64 	HK
C9orf69 	HK
C9orf78 	HK
C9orf89 	HK
CAB39 	HK
CALCOCO2 	HK
CALM1 	HK
CALR 	HK
CALU 	HK
CAMTA1 	HK
CAMTA2 	HK
CANT1 	HK
CANX 	HK
CAPN1 	HK
CAPN7 	HK
CAPNS1 	HK
CAPRIN1 	HK
CAPZA2 	HK
CAPZB 	HK
CARKD 	HK
CARS 	HK
CARS2 	HK
CASC3 	HK
CASC4 	HK
CASP3 	HK
CASP7 	HK
CASP9 	HK
CBR4 	HK
CBX3 	HK
CBX5 	HK
CC2D1A 	HK
CC2D1B 	HK
CCAR1 	HK
CCBL1 	HK
CCDC12 	HK
CCDC124 	HK
CCDC127 	HK
CCDC130 	HK
CCDC137 	HK
CCDC149 	HK
CCDC174 	HK
CCDC22 	HK
CCDC23 	HK
CCDC25 	HK
CCDC47 	HK
CCDC50 	HK
CCDC51 	HK
CCDC59 	HK
CCDC71 	HK
CCDC86 	HK
CCDC90A 	HK
CCDC92 	HK
CCDC94 	HK
CCM2 	HK
CCNB1IP1 	HK
CCNDBP1 	HK
CCNG1 	HK
CCNH 	HK
CCNK 	HK
CCNL1 	HK
CCNL2 	HK
CCNY 	HK
CCPG1 	HK
CCT3 	HK
CCT4 	HK
CCT5 	HK
CCT6A 	HK
CCT7 	HK
CCT8 	HK
CD164 	HK
CD320 	HK
CD46 	HK
CD63 	HK
CD81 	HK
CD82 	HK
CD99L2 	HK
CDC123 	HK
CDC16 	HK
CDC23 	HK
CDC27 	HK
CDC37 	HK
CDC37L1 	HK
CDC40 	HK
CDC42 	HK
CDC5L 	HK
CDIP1 	HK
CDIPT 	HK
CDK12 	HK
CDK13 	HK
CDK16 	HK
CDK2AP1 	HK
CDK4 	HK
CDK5RAP1 	HK
CDK8 	HK
CDK9 	HK
CDS2 	HK
CDV3 	HK
CDYL 	HK
CEBPG 	HK
CEBPZ 	HK
CECR5 	HK
CELF1 	HK
CENPB 	HK
CENPT 	HK
CEP104 	HK
CEP57 	HK
CEP63 	HK
CERK 	HK
CERS2 	HK
CGGBP1 	HK
CHAMP1 	HK
CHCHD1 	HK
CHCHD2 	HK
CHCHD3 	HK
CHCHD4 	HK
CHCHD5 	HK
CHCHD7 	HK
CHD1L 	HK
CHD4 	HK
CHD8 	HK
CHERP 	HK
CHID1 	HK
CHKB 	HK
CHMP1A 	HK
CHMP2A 	HK
CHMP2B 	HK
CHMP4A 	HK
CHMP4B 	HK
CHMP5 	HK
CHMP6 	HK
CHP1 	HK
CHPT1 	HK
CHRAC1 	HK
CHST12 	HK
CHST7 	HK
CHTOP 	HK
CHUK 	HK
CHURC1 	HK
CHURC1-FNTB 	HK
CIAO1 	HK
CIB1 	HK
CIC 	HK
CINP 	HK
CIR1 	HK
CIRH1A 	HK
CISD1 	HK
CISD2 	HK
CISD3 	HK
CKAP4 	HK
CLCC1 	HK
CLCN3 	HK
CLCN7 	HK
CLINT1 	HK
CLK3 	HK
CLNS1A 	HK
CLOCK 	HK
CLP1 	HK
CLPP 	HK
CLPTM1 	HK
CLPTM1L 	HK
CLPX 	HK
CLTA 	HK
CLTB 	HK
CLTC 	HK
CMAS 	HK
CMC1 	HK
CMC2 	HK
CMC4 	HK
CMPK1 	HK
CNBP 	HK
CNIH 	HK
CNIH4 	HK
CNNM2 	HK
CNNM3 	HK
CNOT1 	HK
CNOT11 	HK
CNOT2 	HK
CNOT3 	HK
CNOT4 	HK
CNOT7 	HK
CNST 	HK
COA1 	HK
COA3 	HK
COA4 	HK
COA5 	HK
COA6 	HK
COASY 	HK
COG1 	HK
